algoritmo,step_size,iter,time,loss,gap,spars,mse
FW,diminishing,239,0.03143191337585449,59.59377198374807,0.35284913478921,16,0.1919284121859841
FW,diminishing,240,0.031552791595458984,59.59326748392759,0.6918701268515051,16,0.19192678738785054
FW,diminishing,241,0.03167581558227539,59.59310002173438,0.4579504746596754,16,0.19192624805711556
FW,diminishing,242,0.0317997932434082,59.592635069824276,0.5440279090209472,16,0.19192475062745337
FW,diminishing,243,0.031935930252075195,59.592413280212696,0.4865935144116236,16,0.19192403632918742
FW,diminishing,244,0.03205680847167969,59.59235360153147,0.37385631199168046,16,0.19192384412731553
FW,diminishing,245,0.0321810245513916,59.59180091126015,0.5863958488510974,16,0.19192206412644172
FW,diminishing,246,0.032301902770996094,59.59175525361584,0.3914386340263789,16,0.19192191708088838
FW,diminishing,247,0.0324099063873291,59.59151820277762,0.4673056538916711,16,0.19192115363213405
FW,diminishing,248,0.032531023025512695,59.59141823989196,0.5645150669601335,16,0.1919208316904733
FW,diminishing,249,0.03267097473144531,59.59120601656315,0.47519400234852327,16,0.1919201482014916
FW,diminishing,250,0.0328068733215332,59.591036287398985,0.4327958591407466,16,0.191919601569723
FW,diminishing,251,0.032927751541137695,59.59069373499335,0.47905721876720264,16,0.19191849834136346
FW,diminishing,252,0.033064842224121094,59.59049890889226,0.4109405432267934,16,0.19191787088210066
FW,diminishing,253,0.033186912536621094,59.59026461171334,0.38860899258467896,16,0.1919171163018143
FW,diminishing,254,0.03332376480102539,59.59016781001797,0.35667117559736283,16,0.19191680454112067
FW,diminishing,255,0.033447980880737305,59.5901666642922,0.30121191498577105,16,0.1919168008511826
FW,diminishing,256,0.0335698127746582,59.58963846826468,0.6292482145766769,16,0.19191509973676227
FW,diminishing,257,0.03370976448059082,59.589506434861086,0.3132779702529618,16,0.1919146745084093
FW,diminishing,258,0.03382992744445801,59.58941725627551,0.3436099559499226,16,0.19191438729879393
FW,diminishing,259,0.0339510440826416,59.58927260272972,0.4902328077143139,16,0.1919139214258606
FW,diminishing,260,0.034073829650878906,59.58927229077345,0.3492193701922375,16,0.19191392042117053
FW,diminishing,261,0.0341949462890625,59.588839285517444,0.5219468075273994,16,0.19191252587928323
FW,diminishing,262,0.034314632415771484,59.58875648853837,0.5435570710727049,16,0.1919122592223458
FW,diminishing,263,0.03442096710205078,59.58861690776838,0.420452543497035,16,0.1919118096868547
FW,diminishing,264,0.03452706336975098,59.58834646770163,0.7610115252230969,16,0.19191093870435308
FW,diminishing,265,0.03463387489318848,59.58814954681657,0.6325531223389689,16,0.19191030449860408
FW,diminishing,266,0.03473997116088867,59.587496373170815,0.8091205863612387,16,0.19190820087977717
FW,diminishing,267,0.03487586975097656,59.5873492448612,0.486256101000464,16,0.19190772703659
FW,diminishing,268,0.034996986389160156,59.586958747262706,0.49738577830596853,16,0.19190646939537104
FW,diminishing,269,0.035118818283081055,59.586589722604074,0.45336595372825883,16,0.19190528091015804
FW,diminishing,270,0.03523993492126465,59.58637963253416,0.5091586604729912,16,0.1919046042915754
FW,diminishing,271,0.03536081314086914,59.58622991462704,0.36487359266117636,16,0.19190412210829966
FW,diminishing,272,0.03548288345336914,59.586178560179675,0.5096831056192812,16,0.19190395671555452
FW,diminishing,273,0.035604000091552734,59.586083656492065,0.44573245946078544,16,0.1919036510676073
FW,diminishing,274,0.03573298454284668,59.58569804761461,0.49313914296002537,16,0.19190240917106155
FW,diminishing,275,0.03585696220397949,59.58522562643613,0.5923205567393737,16,0.19190088768578462
FW,diminishing,276,0.0359649658203125,59.584905501708015,0.45466231862806694,16,0.1918998566882706
FW,diminishing,277,0.03606986999511719,59.58489812192579,0.7178673699952611,16,0.191899832920856
FW,diminishing,278,0.036191701889038086,59.5844812721529,0.5097466452341166,16,0.19189849040951015
FW,diminishing,279,0.03631281852722168,59.584111778045695,0.4519960702736725,16,0.19189730041238548
FW,diminishing,280,0.03643298149108887,59.58403211709498,0.5128182250840965,16,0.19189704385537834
FW,diminishing,281,0.03653979301452637,59.5839988880199,0.3683099988519629,16,0.19189693683742318
FW,diminishing,282,0.03666090965270996,59.58322056520959,0.9061871447000414,16,0.1918944301617056
FW,diminishing,283,0.03678178787231445,59.58308730725951,0.4451199368711798,16,0.19189400098956363
FW,diminishing,284,0.036888837814331055,59.582953812881456,0.579457553948032,16,0.19189357105597893
FW,diminishing,285,0.03699493408203125,59.58277419709056,0.8069816523498403,16,0.1918929925832224
FW,diminishing,286,0.03711581230163574,59.58256394885574,0.43881372464079504,16,0.19189231545525198
FW,diminishing,287,0.03722095489501953,59.58242759117948,0.5750532970938238,16,0.19189187630009494
FW,diminishing,288,0.03734183311462402,59.581690418772595,0.8831836145303029,16,0.191889502153857
FW,diminishing,289,0.037462711334228516,59.58136184982355,0.5057382306408158,16,0.1918884439607844
FW,diminishing,290,0.03758382797241211,59.581124879980784,0.37339692066331054,16,0.19188768077288498
FW,diminishing,291,0.03769087791442871,59.58081667986205,0.4372045051752451,16,0.19188668817991
FW,diminishing,292,0.03781294822692871,59.58038140058427,0.6937107276593792,16,0.19188528631428106
FW,diminishing,293,0.0379488468170166,59.58021608660654,0.4180570761537936,16,0.19188475390211446
FW,diminishing,294,0.0380859375,59.5802059652827,0.30987286695147276,16,0.1918847213052583
